GEOID,Capita,Population 2021,GDP,GDP,TempChg,PrepChg,PrepExt,ColdExt,HeatExt,DryChg,ImpSurface,HouseDen,PopEst,HouseSLR,RoadSLR,Hazard(H),Expos(E),Vulner(V),Risk=HEV,HEV*100
04019,33827,"1,063,162","47,959,709,000","47,959,709",2.098959474,-2.575963429,20.1,23.6,51.7,-0.366456473,1.515498655,1016.227098,1417799.333,0,0,0.147526769,0.056330026,0.400504443,0.003328267,0.3328267
04021,21182,"484,239","9,982,112,000","9,982,112",1.838044011,0.330120174,98.1,30.6,48.7,-0.127421595,1.041905156,421.7320577,471243.6667,0,0,0.243302656,0.022419392,0.392259028,0.002139654,0.2139654
04023,26762,"49,158","2,022,514,000","2,022,514",1.541394694,-2.395355031,16.5,66.7,46.4,-0.377785355,0.794719668,233.7778524,75575.33333,0,0,0.181754196,0.008013668,0.29772049,0.000433635,0.0433635
04025,24167,"249,081","8,092,110,000","8,092,110",1.794163273,0.242458868,93.2,68.6,46.8,-0.179178588,0.78380551,384.4298245,334839.3333,0,0,0.321200129,0.016304075,0.32424079,0.001698007,0.1698007
04027,19540,"213,221","8,137,550,000","8,137,550",2.03638267,-9.313076903,3.8,34.5,56.5,-0.812016401,0.786880018,1028.413324,416453.6667,0,0,0,0.02004902,0.485932953,0,0
05001,144325,"16,307","1,036,351,000","1,036,351",1.574058924,0.315787678,89.6,39.5,41.9,-0.109860192,0.563040271,66.72470524,7180.666667,0,0,0.205700239,0.003966921,0.276262365,0.000225429,0.0225429
05003,60681,"18,262","728,373,000","728,373",1.437252007,3.217312901,408.7,42.9,43.1,0.58016428,0.599309456,71.28529206,12003.33333,0,0,0.448242535,0.004377348,0.294599972,0.000578039,0.0578039
05005,48830,"42,875","1,628,561,000","1,628,561",1.58654234,3.214606696,614,50.2,36,1.20341776,1.58419264,205.708222,33351.66667,0,0,0.609000483,0.012121138,0.294717074,0.002175536,0.2175536
05007,45293,"311,013","18,675,011,000","18,675,011",1.51853428,0.208219316,92.2,45.6,31.2,-0.165005317,5.749380899,734.7443759,412314.3333,0,0,0.180920149,0.053807227,0.344653766,0.003355139,0.3355139
05009,47320,"38,530","1,412,493,000","1,412,493",1.91331582,0.172228818,82.1,40.6,32.8,-0.137405982,1.196228062,114.2547708,29850,0,0,0.213970515,0.009153518,0.308007448,0.000603258,0.0603258
05011,65377,"10,104","334,315,000","334,315",1.493608716,0.304343329,88.1,44.4,42.3,-0.087819494,0.571336929,48.35922948,5113.666667,0,0,0.208950196,0.003926411,0.296788837,0.000243493,0.0243493
05013,63503,"4,641","339,866,000","339,866",1.480772121,0.224825881,86.2,48.8,42.8,-0.089661396,0.413876587,34.41550788,5352,0,0,0.217230012,0.002816097,0.288376225,0.000176412,0.0176412
